Series Title,Year Released,Content Rating,IMDB Rating,R Rating,Genre,Description,No of Seasons,Streaming Platform
Modern Family,2009,16+,8.4,90,"Comedy,Drama","The Pritchett-Dunphy-Tucker clan is a wonderfully large and blended family. They give us an honest and often hilarious look into the sometimes warm, sometimes twisted, embrace of the modern family.Modern Family featuring Ed O'Neill and Sofía Vergara has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with ABC (Via Cable/Satellite Provider), free on ABC, and 5 others. It's a comedy and drama show with 255 episodes over 11 seasons. Modern Family is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.4 (339,700 votes) and was well received by critics.",11 Seasons,"Free Services,Hulu,ABC"
Suits,2011,16+,8.5,90,"Drama,Comedy","While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.Suits featuring Gabriel Macht and Rick Hoffman has one or more episodes streaming with subscription on Prime Video, free on Peacock, available for purchase on iTunes, and 4 others. It's a comedy and drama show with 134 episodes over 9 seasons. Suits is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (353,576 votes) and was very well received by critics.",9Seasons,"Free Services,Prime Video"
The Last Dance,2020,16+,9.2,90,"Documentary,Biography","A 10-part documentary chronicling the untold story of Michael Jordan and the Chicago Bulls dynasty with rare, never-before-seen footage and sound from the 1997-98 championship season – plus over 100 interviews with famous figures and basketball’s biggest names.The Last Dance featuring Michael Jordan and Scottie Pippen has one or more episodes streaming with subscription on Netflix. It's a biography and documentary show with 10 episodes over 1 season. The Last Dance is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.2 (65,724 votes) and was very well received by critics.",1Season,Netflix
Community,2009,7+,8.5,90,"Comedy,2009","Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.Community featuring Alison Brie and Joel McHale has one or more episodes streaming with subscription on Netflix, streaming with subscription on Hulu, free on Sony Crackle, and 5 others. It's a comedy show with 112 episodes over 6 seasons. Community is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (205,783 votes) and was well received by critics.",6Seasons,"Free Services,Netflix,Hulu"
It's Always Sunny in Philadelphia,2005,18+,8.8,90,"Comedy,2005","Four egocentric friends who run a neighborhood Irish pub in Philadelphia try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.It's Always Sunny in Philadelphia featuring Charlie Day and Glenn Howerton has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with FX (Via Cable/Satellite Provider), streaming via tv everywhere with VICELAND (Via Cable/Satellite Provider), and 5 others. It's a comedy show with 154 episodes over 14 seasons. It's Always Sunny in Philadelphia is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.8 (185,015 votes) and was very well received by critics.",14Seasons,"Hulu,FX,Viceland"
Twin Peaks,1990,18+,8.8,90,"Drama,Horror","The body of Laura Palmer is washed up on a beach near the small Washington state town of Twin Peaks. FBI Special Agent Dale Cooper is called in to investigate her strange demise only to uncover a web of mystery that ultimately leads him deep into the heart of the surrounding woodland and his very own soul.Twin Peaks featuring Kyle MacLachlan and Alicia Witt has one or more episodes streaming with subscription on Netflix, streaming with subscription on Showtime (Via Prime Video), streaming with subscription on Hulu, and 6 others. It's a crime and drama show with 48 episodes over 3 seasons. Twin Peaks is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (169,399 votes) and was well received by critics.",3 Seasons,"Netflix,Showtime,Hulu"
Hannibal,2013,18+,8.5,90,"Crime,Drama","Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter.Hannibal featuring Hugh Dancy and Mads Mikkelsen has one or more episodes streaming with subscription on Netflix, and available for purchase on VUDU. It's a crime and drama show with 39 episodes over 3 seasons. Hannibal is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.5 (220,975 votes) and was very well received by critics.",3Seasons,Netflix
Ozark,2017,18+,8.4,90,"Crime,Drama","A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.Ozark featuring Jason Bateman and Laura Linney has one or more episodes streaming with subscription on Netflix. It's a crime and drama show with 30 episodes over 3 seasons. Ozark is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.4 (170,038 votes) and was well received by critics.",3Seasons,Netflix
Seinfeld,1989,7+,8.8,90,"Comedy,Stand-up & Talk","A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.Seinfeld featuring Jerry Seinfeld and Jason Alexander has one or more episodes streaming with subscription on Hulu, streaming via tv everywhere with TBS, streaming with subscription on fuboTV, and 3 others. It's a Comedy and Stand up & Talk show with 190 episodes over 9 seasons. Seinfeld is no longer running and has no plans to air new episodes or seasons. It has a high IMDb audience rating of 8.8 (246,958 votes) and was well received by critics.",9Seasons,"Hulu,TBS,fuboTV"
The Haunting,2018,18+,8.7,89,"Horror,Drama","The Crains, a fractured family, confront haunting memories of their old home and the terrifying events that drove them from it.The Haunting featuring Michiel Huisman and Elizabeth Reaser has one or more episodes streaming with subscription on Netflix, available for purchase on Google Play, available for purchase on Prime Video, and 2 others. It's a drama and horror show with 10 episodes over 1 season. The Haunting is still airing with no announced date for the next episode or season. It has a high IMDb audience rating of 8.7 (154,025 votes) and was very well received by critics.",1Season,Netflix
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,89,"Action & Adventure,Anime","Edward and Alphonse Elric's reckless disregard for alchemy's fun­damental laws ripped half of Ed's limbs from his body and left Al's soul clinging to a cold suit of armor. To restore what was lost, the brothers scour a war-torn land for the Philosopher's Sto­ne, a fabled relic which grants the ability to perform alchemy in impossible ways. The Elrics are not alone in their search; the corrupt State Military is also eager to harness the artifact's power. So too are the strange Homunculi and their shadowy creator. The mythical gem lures exotic alchemists from distant kingdoms, scarring some deeply enough to inspire murder. As the Elrics find their course altered by these enemies and allies, their purpose remains unchanged – and their bond unbreakable.Fullmetal Alchemist: Brotherhood featuring Romi Park and Rie Kugimiya has one or more episodes streaming with subscription on Netflix, streaming with subscription on HBO MAX, streaming with subscription on Hulu, and 2 others. It's an action & adventure and animation show with 64 episodes over 1 season. Fullmetal Alchemist: Brotherhood is no longer running and has no plans to air new episodes or seasons. It has a very high IMDb audience rating of 9.1 (109,584 votes) and was very well received by critics.",1Season,"Free Services,Netflix,HBO MAX"
